head := query_30Centriod
847-th query  distance:=62333.1
848-th query  distance:=33540
849-th query  distance:=6170.87
850-th query  distance:=1538.01
851-th query  distance:=58408.7
852-th query  distance:=41430.1
853-th query  distance:=35871.1
854-th query  distance:=28923.3
855-th query  distance:=82296.1
856-th query  distance:=51848.3
857-th query  distance:=64147.7
858-th query  distance:=31517.9
859-th query  distance:=56239.3
860-th query  distance:=64736
861-th query  distance:=70282.4
862-th query  distance:=37227.7
863-th query  distance:=36503.2
864-th query  distance:=55260.4
865-th query  distance:=36033.8
866-th query  distance:=45759.7
867-th query  distance:=52224.1
868-th query  distance:=47742
869-th query  distance:=52880.6
870-th query  distance:=26251.9
871-th query  distance:=49233.4
872-th query  distance:=49599.7
873-th query  distance:=22133.9
874-th query  distance:=49209.8
875-th query  distance:=24015.7
876-th query  distance:=48628.8
877-th query  distance:=45417.3
878-th query  distance:=28451.2
879-th query  distance:=20448
880-th query  distance:=66692.3
881-th query  distance:=19686.6
882-th query  distance:=50901.8
883-th query  distance:=21877
884-th query  distance:=28385.6
885-th query  distance:=36568.3
886-th query  distance:=46727.3
887-th query  distance:=45219.2
888-th query  distance:=41846.2
889-th query  distance:=63880.5
890-th query  distance:=10411.2
891-th query  distance:=62347.5
892-th query  distance:=39486.9
893-th query  distance:=10855.4
894-th query  distance:=42443.3
895-th query  distance:=39054.8
896-th query  distance:=28676.6
897-th query  distance:=38770.9
898-th query  distance:=56308.9
899-th query  distance:=38499.2
900-th query  distance:=43999.4
901-th query  distance:=65538.2
902-th query  distance:=27886.9
903-th query  distance:=44618.1
904-th query  distance:=44372.8
905-th query  distance:=48662.1
906-th query  distance:=54603.7
907-th query  distance:=39047.8
908-th query  distance:=14569.2
909-th query  distance:=50972.4
910-th query  distance:=85687
911-th query  distance:=71011.7
912-th query  distance:=46161.9
913-th query  distance:=37945.1
914-th query  distance:=25073.7
915-th query  distance:=22656.9
916-th query  distance:=52429
917-th query  distance:=69877.2
918-th query  distance:=71658.5
919-th query  distance:=47307
920-th query  distance:=37344.8
